conference,url,title,authors,abstract
acl,https://aclanthology.org/P15-1111.pdf,Identifying Cascading Errors using Constraints in Dependency Parsing,"Dominick Ng,James R. Curran",None
acl,https://aclanthology.org/P15-1112.pdf,A Re-ranking Model for Dependency Parser with Recursive Convolutional Neural Network,"Chenxi Zhu,Xipeng Qiu,Xinchi Chen,Xuanjing Huang",None
acl,https://aclanthology.org/P15-1113.pdf,Transition-based Neural Constituent Parsing,"Taro Watanabe,Eiichiro Sumita",None
acl,https://aclanthology.org/P15-1114.pdf,Feature Selection in Kernel Space: A Case Study on Dependency Parsing,"Xian Qian,Yang Liu",None
acl,https://aclanthology.org/P15-1115.pdf,Semantic Role Labeling Improves Incremental Parsing,"Ioannis Konstas,Frank Keller",None
acl,https://aclanthology.org/P15-1116.pdf,Discontinuous Incremental Shift-reduce Parsing,Wolfgang Maier,None
acl,https://aclanthology.org/P15-1117.pdf,A Neural Probabilistic Structured-Prediction Model for Transition-Based Dependency Parsing,"Hao Zhou,Yue Zhang,Shujian Huang,Jiajun Chen",None
acl,https://aclanthology.org/P15-1118.pdf,Parsing Paraphrases with Joint Inference,"Do Kook Choe,David McClosky",None
acl,https://aclanthology.org/P15-1119.pdf,Cross-lingual Dependency Parsing Based on Distributed Representations,"Jiang Guo,Wanxiang Che,David Yarowsky,Haifeng Wang,Ting Liu",None
acl,https://aclanthology.org/P15-1120.pdf,Can Natural Language Processing Become Natural Language Coaching?,Marti A. Hearst,None
acl,https://aclanthology.org/P15-1121.pdf,Machine Comprehension with Discourse Relations,"Karthik Narasimhan,Regina Barzilay",None
acl,https://aclanthology.org/P15-1122.pdf,Implicit Role Linking on Chinese Discourse: Exploiting Explicit Roles and Frame-to-Frame Relations,"Ru Li,Juan Wu,Zhiqiang Wang,Qinghua Chai",None
acl,https://aclanthology.org/P15-1123.pdf,Discourse-sensitive Automatic Identification of Generic Expressions,"Annemarie Friedrich,Manfred Pinkal",None
acl,https://aclanthology.org/P15-1124.pdf,Model-based Word Embeddings from Decompositions of Count Matrices,"Karl Stratos,Michael Collins,Daniel Hsu",None
acl,https://aclanthology.org/P15-1125.pdf,Entity Hierarchy Embedding,"Zhiting Hu,Poyao Huang,Yuntian Deng,Yingkai Gao,Eric Xing",None
acl,https://aclanthology.org/P15-1126.pdf,Orthogonality of Syntax and Semantics within Distributional Spaces,"Jeff Mitchell,Mark Steedman",None
acl,https://aclanthology.org/P15-1127.pdf,Scalable Semantic Parsing with Partial Ontologies,"Eunsol Choi,Tom Kwiatkowski,Luke Zettlemoyer",None
acl,https://aclanthology.org/P15-1128.pdf,Semantic Parsing via Staged Query Graph Generation: Question Answering with Knowledge Base,"Wen-tau Yih,Ming-Wei Chang,Xiaodong He,Jianfeng Gao",None
acl,https://aclanthology.org/P15-1129.pdf,Building a Semantic Parser Overnight,"Yushi Wang,Jonathan Berant,Percy Liang",None
acl,https://aclanthology.org/P15-1130.pdf,Predicting Polarities of Tweets by Composing Word Embeddings with Long Short-Term Memory,"Xin Wang,Yuanchao Liu,Chengjie Sun,Baoxun Wang,Xiaolong Wang",None
acl,https://aclanthology.org/P15-1131.pdf,Topic Modeling based Sentiment Analysis on Social Media for Stock Market Prediction,"Thien Hai Nguyen,Kiyoaki Shirai",None
acl,https://aclanthology.org/P15-1132.pdf,Learning Tag Embeddings and Tag-specific Composition Functions in Recursive Neural Network,"Qiao Qian,Bo Tian,Minlie Huang,Yang Liu,Xuan Zhu,Xiaoyan Zhu",None
acl,https://aclanthology.org/P15-1133.pdf,A convex and feature-rich discriminative approach to dependency grammar induction,"Édouard Grave,Noémie Elhadad",None
acl,https://aclanthology.org/P15-1134.pdf,Parse Imputation for Dependency Annotations,"Jason Mielens,Liang Sun,Jason Baldridge",None
acl,https://aclanthology.org/P15-1135.pdf,Probing the Linguistic Strengths and Limitations of Unsupervised Grammar Induction,"Yonatan Bisk,Julia Hockenmaier",None
